,STOP_WAS_INITIATED,STOP_DURATION_MINUTES,SUSPECT_ARRESTED_FLAG,SUSPECT_ARREST_OFFENSE,FRISKED_FLAG,SEARCHED_FLAG,BACKROUND_CIRCUMSTANCES_VIOLENT_CRIME_FLAG,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,STOP_LOCATION_BORO_NAME,IMMEDIATE_STOP_FLAG,STOP_FRISK_TIME_HOUR,KMEANS_DEMEANOR
1563,Based on Radio Run,4,N,not arrested,Y,N,Y,20,MALE,BLACK,5.9,150,THN,BROWN,BLK,BROOKLYN,N,15,2
1564,Based on Radio Run,3,Y,ROBBERY,N,Y,N,21,MALE,BLACK,5.1,190,MED,BROWN,BLK,BRONX,N,18,7
1565,Based on Radio Run,15,Y,ROBBERY,N,Y,Y,27,MALE,WHITE,5.7,150,THN,BROWN,BLK,QUEENS,N,3,6
1566,Based on Radio Run,10,Y,ROBBERY,N,N,N,31,MALE,BLACK,5.1,160,THN,unknown,OTHER,QUEENS,Y,18,0
1567,Based on Self Initiated,9,N,not arrested,Y,N,N,24,MALE,WHITE,5.8,160,MED,BROWN,BLK,QUEENS,N,0,2
1568,Based on Self Initiated,25,N,not arrested,N,N,N,25,MALE,WHITE,5.8,250,HEA,BROWN,BLK,BROOKLYN,Y,19,1
1569,Based on Radio Run,5,Y,CPSP,N,Y,N,15,MALE,WHITE,5.4,120,UNKNOWN,BROWN,BLK,QUEENS,Y,4,4
1570,Based on Radio Run,5,N,not arrested,Y,N,Y,22,MALE,BLACK,6.4,180,THN,BROWN,BLK,QUEENS,Y,18,1
1571,Based on Radio Run,41,Y,BURGLARY,Y,Y,Y,23,MALE,WHITE,5.7,150,THN,BROWN,BLK,BRONX,Y,6,0
1572,Based on Radio Run,10,N,not arrested,N,N,N,28,FEMALE,WHITE,5.4,150,MED,BROWN,BLK,BROOKLYN,Y,3,9
1573,Based on Radio Run,4,N,not arrested,Y,Y,Y,22,MALE,BLACK,6.1,185,MED,BROWN,BLK,STATEN ISLAND,N,12,1
1574,Based on Radio Run,12,N,not arrested,N,N,N,45,MALE,BLACK,5.1,180,MED,BLACK,BLK,MANHATTAN,Y,5,1
1575,Based on Radio Run,20,Y,UNAUTHORIZED USE OF A VEHICLE,N,Y,N,30,FEMALE,WHITE,5.3,110,THN,OTHER,OTHER,QUEENS,Y,6,0
1576,Based on Self Initiated,5,Y,BURGLARY,N,Y,N,56,FEMALE,WHITE,5.4,120,THN,BROWN,OTHER,MANHATTAN,N,0,2
1577,Based on Radio Run,1,N,not arrested,Y,N,Y,33,MALE,BLACK,5.8,150,THN,BROWN,BLK,BRONX,Y,16,1
1578,Based on Radio Run,5,N,not arrested,N,N,N,40,MALE,BLACK,6.0,190,HEA,BROWN,BLK,BROOKLYN,N,2,1
1579,Based on Radio Run,1,Y,PETIT LARCENY,Y,Y,N,20,MALE,BLACK,5.11,210,UNKNOWN,BROWN,BRO,QUEENS,Y,19,1
1580,Based on Radio Run,5,N,not arrested,Y,N,N,18,MALE,BLACK,5.1,140,THN,BROWN,BLK,BROOKLYN,Y,0,0
1581,Based on Self Initiated,10,Y,OTHER,Y,Y,N,17,MALE,BLACK,5.6,120,THN,BROWN,BLK,QUEENS,Y,17,6
1582,Based on Radio Run,5,Y,CPW,Y,Y,Y,17,MALE,BLACK,5.7,125,MED,BROWN,BLK,BRONX,N,12,4
1583,Based on Radio Run,3,Y,CPW,Y,N,N,24,MALE,BLACK,5.1,200,MED,BROWN,BLK,BROOKLYN,Y,10,0
1584,Based on C/W on Scene,2,N,not arrested,N,N,N,56,MALE,BLACK,6.1,210,MED,BROWN,BLD,MANHATTAN,N,19,0
