Pair	Hypothesis	P-value
STOP_LOCATION_STREET_NAME-1 ST	Fail to Reject Null Hypothesis	0.3231922936706571
STOP_LOCATION_STREET_NAME-10 AVE	Fail to Reject Null Hypothesis	0.12308677368683239
STOP_LOCATION_STREET_NAME-10 ST	Fail to Reject Null Hypothesis	0.2635785099860006
STOP_LOCATION_STREET_NAME-100 ST	Fail to Reject Null Hypothesis	0.15607298250187077
STOP_LOCATION_STREET_NAME-101 AVE	Fail to Reject Null Hypothesis	0.0002628641263158836
STOP_LOCATION_STREET_NAME-102 AVE	Fail to Reject Null Hypothesis	0.8203830362544028
STOP_LOCATION_STREET_NAME-102 ST	Fail to Reject Null Hypothesis	0.001312818651774395
STOP_LOCATION_STREET_NAME-103 AVE	Fail to Reject Null Hypothesis	0.3231922936706571
STOP_LOCATION_STREET_NAME-103 ST	Fail to Reject Null Hypothesis	0.7066489040931065
STOP_LOCATION_STREET_NAME-104 ST	Fail to Reject Null Hypothesis	0.010890955187039312
STOP_LOCATION_STREET_NAME-104 STREET	Fail to Reject Null Hypothesis	0.3231922936706571
STOP_LOCATION_STREET_NAME-105 ST	Fail to Reject Null Hypothesis	0.10442208449057705
STOP_LOCATION_STREET_NAME-106 STREET	Fail to Reject Null Hypothesis	0.5867536789575318
STOP_LOCATION_STREET_NAME-107 ST	Fail to Reject Null Hypothesis	0.3231922936706571
STOP_LOCATION_STREET_NAME-107 STREET	Fail to Reject Null Hypothesis	0.3231922936706571
STOP_LOCATION_STREET_NAME-108 AVE	Fail to Reject Null Hypothesis	0.7660254633840331
STOP_LOCATION_STREET_NAME-108 AVENUE	Fail to Reject Null Hypothesis	0.3441828525369875
STOP_LOCATION_STREET_NAME-108 ST	Fail to Reject Null Hypothesis	0.12308677368683239
STOP_LOCATION_STREET_NAME-109 AVE	Fail to Reject Null Hypothesis	0.5867536789575318
STOP_LOCATION_STREET_NAME-11 AVE	Fail to Reject Null Hypothesis	0.010890955187039312
